"Analisis para 14 diccionarios, el primero con 5000 palabras, aumentando en 5000 cada vez, hasta llegar a 70000.
Para cada diccionario se analiza la duracion del solver cuando se le pide que encuentre las solucionies partiendo de 2 letras, aumentoado en 2, hasta llegar a 56. 
Para cada numero de letras se hace la media de 10 grupos de esa canditdad de letras.
Las filas cambian junto al numero de palabras por diccionario y las columnas junto al numero de letrasque se le passan al solver.
Las unidades estan en ms.",
, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 
5000, 0.0125004,0.0240488,0.0492064,0.114425,0.201007,0.301025,0.419247,0.574275,0.897924,1.1832,1.44471,1.86916,2.30314,2.61373,3.2928,3.57349,4.58357,5.02115,5.77468,6.43759,8.31385,8.44844,8.30076,9.1281,9.60761,9.97612,10.2284,10.3331,
10000, 0.0124511,0.0260044,0.0621155,0.158461,0.264558,0.429675,0.569939,0.870815,1.41918,1.74314,2.26663,2.93648,3.73911,4.42713,5.3912,6.34699,8.01156,8.96713,10.2694,11.3228,13.1574,14.2372,14.8607,16.1191,16.4604,17.767,18.3175,18.5601,
15000, 0.0107536,0.0356776,0.0682945,0.182563,0.315937,0.519302,0.708921,1.09595,1.785,2.23812,3.02396,3.84243,4.9282,5.8318,7.30689,8.32381,10.7267,12.0166,13.7762,15.3612,18.046,19.7374,20.2233,22.2194,22.9017,24.3471,25.2686,25.7091,
20000, 0.0134055,0.0322218,0.0786203,0.198646,0.370084,0.591985,0.893066,1.29725,2.10733,2.68786,3.62297,4.74201,6.04611,7.22797,9.47754,11.4909,13.4159,15.771,19.0678,21.3552,22.7598,24.7547,25.6245,27.9961,28.6999,30.5819,32.1869,32.4906,
25000, 0.012472,0.0344971,0.0839564,0.220228,0.402302,0.666399,0.947142,1.43988,2.41362,3.11696,4.11269,5.51848,7.06102,8.50231,10.5304,12.1989,15.9909,17.6212,20.6076,22.9354,26.851,29.5043,30.1114,33.3751,34.4747,36.5404,38.0616,38.6826,
30000, 0.0131687,0.036895,0.101438,0.233025,0.445831,0.715222,1.00989,1.57254,2.63419,3.69449,4.71281,6.06241,8.06817,9.46579,11.9256,14.255,18.2389,20.2066,23.3664,25.997,30.8325,34.2136,35.6972,38.6655,39.6048,42.4837,44.0038,45.0373,
35000, 0.0173967,0.0387177,0.0921446,0.255873,0.453071,0.76544,1.092,1.7158,2.8711,3.74506,5.03731,6.71526,8.68212,10.4018,13.2126,15.3154,20.0837,22.3939,26.3668,29.1919,34.4749,38.9281,40.3468,46.7399,46.3443,71.3824,60.6893,58.6235,
40000, 0.0149518,0.0343143,0.0891717,0.248004,0.456104,0.781688,1.14155,1.76935,3.02717,3.99563,5.32313,7.21708,9.31608,11.2572,14.2029,16.4426,22.2575,24.4166,28.6654,31.9321,38.0196,42.6011,43.0444,47.6838,48.4345,51.7801,54.1168,55.0837,
45000, 0.0122672,0.0364131,0.0936165,0.256511,0.488966,0.838836,1.19543,1.86285,3.25368,4.4532,5.90172,8.14078,10.1228,13.3073,15.869,18.0521,23.5339,26.7917,31.157,34.946,41.1829,45.3887,47.0891,51.8938,53.6967,56.5237,59.3429,60.7923,
50000, 0.016819,0.0403394,0.0977924,0.26384,0.538513,0.873382,1.28833,2.00085,3.45899,4.63018,6.15249,8.24239,10.9054,13.1449,16.8065,19.4792,25.8357,28.9452,33.7097,37.7108,44.4993,49.0731,51.2096,56.3879,57.5267,61.6239,64.2022,65.6024,
55000, 0.0152783,0.041933,0.101936,0.281463,0.541063,0.924893,1.39288,2.10574,3.64597,4.9169,6.47438,8.80452,11.7669,14.2474,18.1627,21.0013,27.314,30.8288,36.377,40.4663,48.138,52.6072,55.012,62.0628,65.5452,65.9553,68.8814,70.4353,
60000, 0.0175702,0.0418034,0.109692,0.29042,0.566501,0.942244,1.39332,2.1784,3.78276,5.05631,6.79137,9.28025,12.2606,14.8025,18.747,22.1296,29.1495,32.9742,38.4305,43.3683,50.7365,56.4095,58.4546,64.1494,66.2301,70.6983,74.0705,75.1524,
65000, 0.0162009,0.0443032,0.111433,0.29884,0.569623,1.03107,1.42676,2.24201,3.95371,5.20637,7.2833,9.82316,12.9493,15.5383,20.2421,23.2464,30.9382,34.6928,40.228,45.7248,53.7431,59.6031,62.0191,68.9056,69.5491,75.0885,77.9896,79.6868,
70000, 0.0177151,0.0466125,0.109585,0.309605,0.585013,1.00479,1.48363,2.32836,4.13266,5.53389,7.49482,11.0293,16.4874,19.9663,21.1071,26.4946,37.08,41.0468,50.8799,48.8354,57.769,63.6161,69.1174,87.9152,83.2509,81.3006,84.7599,86.212,
