"Analisis para 14 diccionarios, el primero con 5000 palabras, aumentando en 5000 cada vez, hasta llegar a 70000.
Para cada diccionario se analiza la duracion del solver cuando se le pide que encuentre las solucionies partiendo de 2 letras, aumentoado en 2, hasta llegar a 56. 
Para cada numero de letras se hace la media de 10 grupos de esa canditdad de letras.
Las filas cambian junto al numero de palabras por diccionario y las columnas junto al numero de letrasque se le passan al solver.
Las unidades estan en ms.",
, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 
5000, 3.96595,5.04772,7.47802,7.80592,9.14153,10.6997,12.1601,13.2949,14.7352,17.4468,18.1528,19.7272,21.1731,21.7992,23.0691,24.008,25.805,27.1195,28.3078,29.9251,35.0742,34.6515,34.0023,35.568,37.5648,38.807,39.3427,40.0021,
10000, 7.24432,9.79527,12.4427,15.3946,17.7272,20.3977,23.1988,26.1401,28.8635,31.4313,34.4646,36.6957,39.5443,43.5168,45.2722,47.8435,51.0506,54.626,56.4813,59.329,62.0472,65.2209,66.9748,69.9766,72.0973,75.2662,77.13,80.1528,
15000, 10.7685,14.3978,18.012,22.5586,26.6721,31.115,34.6089,38.7065,42.9022,47.5762,51.3984,55.3634,59.8721,63.2235,67.9214,71.3013,76.22,80.3138,85.0373,88.5713,93.3975,96.9775,100.771,105.022,108.045,112.207,116.718,119.34,
20000, 14.1234,18.8782,23.9257,30.0605,34.986,40.4794,47.4929,52.5812,58.7737,62.1698,68.1216,73.1336,78.7387,84.7074,94.1541,107.14,101.619,116.012,129.51,135.751,127.98,129.176,133.603,139.673,144.8,149.763,154.181,160.168,
25000, 17.4278,23.6029,29.7472,37.447,43.5076,50.7958,57.7366,64.4064,71.38,78.2722,85.3944,91.6896,98.4297,104.673,112.678,119.234,126.634,134.223,141.107,147.698,154.983,162.204,167.355,175.254,180.377,186.472,193.358,198.443,
30000, 20.7337,28.1376,35.5191,44.4592,52.5308,60.2114,68.5607,76.7517,85.1059,94.3277,102.125,109.422,118.137,125.982,135.604,141.916,151.294,159.331,167.669,176.149,184.838,194.689,203.039,209.082,216.839,224.232,232.321,239.07,
35000, 24.2229,32.5117,41.2789,51.7661,60.3984,70.284,79.4221,89.0937,99.6206,108.141,118.33,126.542,137.523,145.521,155.618,165.697,176.456,185.619,195.152,204.71,216.109,229.922,237.684,259.381,269.003,372.012,339.98,317.241,
40000, 26.4752,36.193,45.8157,58.4698,67.8054,79.0311,90.4157,100.771,112.307,122.13,134.769,143.221,154.966,165.385,176.058,186.559,201.086,209.576,224.9,232.101,243.87,255.389,265.206,274.23,284.772,293.565,304.136,312.814,
45000, 29.6135,40.7586,52.1192,64.4904,76.6704,88.9271,101.319,113.393,127.36,140.487,153.502,162.209,176.262,209.889,202.58,210.616,224.292,238.91,250.104,262.915,275.6,288.391,299.061,311.208,322.028,335.527,345.409,354.99,
50000, 33.9783,45.2152,57.4162,72.2167,85.1335,98.7149,112.466,126.031,139.895,154.11,167.285,179.191,193.953,206.059,220.408,233.07,249.215,261.967,275.996,289.661,304.778,317.576,328.425,343.139,356.037,369.563,380.308,391.828,
55000, 36.103,49.1446,62.8639,79.1483,93.5761,113.177,123.295,138.199,154.157,168.855,184.14,200.32,213.536,228.576,243.83,258.474,275.158,289.932,305.668,319.368,335.849,350.779,363.144,386.839,405.895,405.793,420.008,431.149,
60000, 38.9909,53.345,68.6926,86.1504,100.761,118.414,133.91,149.784,166.225,182.188,199.343,213.887,230.784,246.595,264.765,280.122,299.757,316.248,333.64,348.901,367.115,382.512,395.435,410.551,425.534,440.755,455.736,469.347,
65000, 42.2764,57.5773,73.7049,92.6877,109.594,127.766,144.54,162.907,180.52,197.273,216.631,231.709,250.623,267.088,285.658,301.102,322.648,340.589,358.126,374.359,394.4,411.16,426.032,451.371,464.786,476.624,494.859,511.804,
70000, 44.8285,61.9844,79.1273,99.6817,118.005,137.696,155.273,174.697,194.132,211.494,233.038,263.286,324.882,350.882,316.874,341.333,390.53,417.867,469.182,412.726,432.284,452.558,498.994,539.681,561.596,535.639,546.955,564.194,
